"Moment","Concepts","Agency","Social"
"Finishing an oddly difficult achievement in a video game made me happy.","entertainment","yes","no"
"Tried to mix tuna, velveeta shells mac and cheese, and ritz crackers and it turned out very well.","food","yes","no"
"Decided to workout for the first time in a year.","exercise","yes","no"
"When my sister in-law told me she was pregnant, which I had been suspecting.","family","no","yes"
"I came home from the gym and saw violets blooming in the front yard.","exercise","no","no"
"I made a shopping in a new shopping mall with multiple varieties with good discount prices.","shopping","yes","no"
"Getting a call from an old friend I haven't seen in over a year.","conversation","no","yes"
"I was happy when I was able to talk to one of my friends that I had not spoken with since High School.","conversation|education","yes","yes"
"I ate a great lobster meal.","food","yes","no"
"Spent the entire day with my grandma today.","family","yes","yes"
"I got a perfect score on my English exam.","education","yes","no"
"I got to see a very large pileated woodpecker at a very short distance in my yard","animals","no","no"
"Happy as it stopped raining","weather","no","no"
"I visited my parents and spent time with them.","family|vacation","yes","yes"
"A pretty girl smiled at me on the bus","romance","no","yes"
"The third thing that made me happy is today is week off from my work and thinking of that moment feels happy.","career","yes","no"
"I had sex two days ago.","romance","yes","yes"
"I ate really good chocolate my boyfriend gave me today","romance|food","yes","yes"
"I discovered my love for cappuccinos which is rare for me because I have been drinking black coffee for at least a decade but I tried one at a local shop and the steam and milk floored me.","shopping|food","yes","no"
"I am happy that my kids had their last day of school.","education|family","yes","yes"
"I spent time with my daughter listening to her read books.","entertainment|family","yes","yes"
"Watching the sunset from my backyard","entertainment","yes","no"
"I went to my first Syracuse Chiefs game of the year the other day with my family.","family|entertainment","yes","yes"
"Having sex with my girlfriend.","romance","yes","yes"
"I finally got a package of ties in the mail that I had been waiting for for several weeks.","shopping","no","no"
"I got a new project which will be creating lots of revenue for my organization.","career","yes","yes"
"I went park and watch a movie with my girl friend.","entertainment|romance","yes","yes"
"I ate a really good meal that included spicy chicken that I had never eaten before.","food","yes","no"
"I received an unexpected gift from my brother","family","no","yes"
"I was able to afford a 4 pack of Blue Moon to watch with some cheesy Lifetime movies.","entertainment","yes","no"
"My daughter competed in the high school dance competition, and her team won many awards during the event. ","education","no","yes"
"I found a way to get a small raise.","career","yes","no"
"My wife made me breakfast","family|food","no","yes"
"The weather that day was much nicer than had been forecast.","weather","no","no"
"I got approved for a new visa card.","shopping","no","no"
"I was happy when I received an unexpected gift card in the mail yesterday for something I completed months ago.","career","no","no"
"My friends asked me to hang out","conversation","no","yes"
"I was able to run a 7:30 mile for three miles after not running as frequently as I felt I should have been.","exercise","yes","no"
"I baked cookies with my crush.","food","yes","yes"
"My favorite videogame is having a fun event right now.","entertainment","no","no"
"I have delivered on the baby child .","family","yes","yes"
"Seeing my puppy sleeping goofy.","animals","yes","yes"
"After long winter, summer comes, days become very long, the weather is warm and nice.","weather","no","no"
"I was off from work today.","career","yes","no"
"MU UNLCE LIVED IN MUMBAI WHEN I RECEIVE A CALL FROM MY UNCLE, I REALLY FELT HAPPY TO SPEAK TO THEM THEIR CHILDREN'S SPOKE ME WITH THEIR BABY VOICE.ITS VERY NICE TO HEAR ON THAT TIME","conversation|family","no","yes"
"I was selected as the captain for get active program launched in our office for our team","career","no","yes"
"I put my headphones in an took my dog on a walk at sunset.","animals|exercise","yes","no"
"I got a paper back in class and my teacher made the comment that it was one of the best in class.","education","yes","yes"
"My car fixed itself and the check engine light turned off all on its own.","technology","yes","yes"
"Now,  I am very happy after spending so much of time together.","family","yes","yes"
"We all friends welt to Bahubali and enjoyed a lot","vacation","yes","yes"
"I met a friend and we had dinner together.","food|conversation","yes","yes"
"I was happy that I got a good deal on my oven when I bought it last week.","shopping","yes","no"
"The business down the street had a live outdoor concert that we went to at lunch.","food","no","yes"
"I finished baking a loaf of pumpkin bread, and the flavor and texture both turned out much better than expected.","food","yes","no"
"I started watching John Wick 2 at midnight and by 2 AM I was smiling from ear to ear.","entertainment","yes","no"
"Last night I was happy to see that one of my favorite shows was on tv.","entertainment","yes","no"
"I booked tickets to see a good friend of mine who lives in a different state.","vacation|entertainment","yes","yes"
"I bought a remote controlled toy car for my son and he was very happy.","shopping|family","yes","yes"
"Going to see Bay Watch in theaters tonight with my girlfriend and having a blast.","entertainment","yes","yes"
"I received praised from a client for work I did on a project.","career","no","yes"
"I learned a new trick on my skateboard.","education","yes","no"
"today my birthday relative in my home","party|family","yes","no"
"when i meet one of my friend who was in far distance and i met him for the first time.","conversation","yes","yes"
"I had a delicious coffee and an egg and cheese omelette.","food","yes","no"
"I got good news from a potential job offering.","career","yes","no"
"I ate a hot fudge brownie sundae for dessert tonight.","food","yes","no"
"MY UNCLE LIVED IN MUMBAI...WHEN I RECEIVE A CALL FORM HIM I FELT VERY HAPPY","conversation","no","yes"
"I got a coupon for a free purse in the mail.","shopping","no","no"
"I got yo see my boyfriend when I didn't think I would.","romance","yes","yes"
"I was able to get in an intense push workout that makes me feel nice and pumped up.","exercise","yes","no"
"I WENT TO HOUSE","family","yes","no"
"I finished work on an onerous, difficult committee I served on at work.","career","yes","no"
"My salary hiked which fulfill me present need of family","family","no","yes"
"I enjoyed a brisk walk outside this afternoon.","exercise","yes","no"
"My mom told me that she was going to pay for my Bachelor's degree this summer.","education","no","yes"
"I was happy when I received a phone call from a friend I have not talked to in a long time.","conversation","no","yes"
"I got a new pet for valentines day.","animals","yes","no"
"I received a video game as a free gift.","entertainment","no","no"
"When I was approved to be a mechanical turk I was happy and still am to this day.","career","no","no"
"TIME SPENT MY FAMILY","family","no","yes"
"I successfully transferred my business to a new owner.","career","yes","yes"
"I recall an event that occurred about three weeks ago in which I completed a very important take-home examination for my law school.","education","yes","no"
"I got to talk to an old friend and reminisce on the good times.","conversation","yes","yes"
"I got my homework done early so I can enjoy my last few hours before school start.","education|career","yes","no"
"I went out to eat at a Mexican restaurant.","food","yes","no"
"Watching an ASMR Youtube video after getting home from work.","entertainment","yes","no"
"My son hit his very first home run in a baseball game and I was there to see it.","entertainment","no","yes"
"I read some good comic books.","entertainment","yes","no"
"I discovered I could do a lot more than I thought I could in the game Pokemon Picross by searching around the screen more than usual.","technology|entertainment","yes","no"
"My daughter called me","family|conversation","no","yes"
"My sister-in-laws and I went to see Beauty and the Beast.","entertainment","yes","yes"
"My cousin and her boyfriend came to visit me.","romance","no","yes"
"Eating at McDonald's.","food","yes","no"
"getting a promotion at work, thereby getting a salary increase","career","no","no"
"When I am getting ready to go to my office, my parents send off with cute smile and say ""Have a nice day and Take care""","career|family","yes","yes"
"Looking at the beauty of the flower garden that I laid pine straw in a couple days ago.","weather","yes","no"
"I was working on a long and arduous project at work and became so immersed in it that I finished a lot sooner than normal, and my boss recognized my improvement and gave me a raise the next day. ","career","yes","yes"
"One of our cats Roxy was at our front screen door and the baby across the street came to our door and kept yelling DOG at Roxy.","animals","no","no"
"I learned that my wife would be getting a promotion at work.","career","no","yes"
"I sold a stock for a modest 10% gain.","shopping","yes","no"
"My daughter came up to me and gave me a big hug for no reason.","family","no","yes"
"I spent some time with a friend from middle school earlier today.","education","yes","yes"
"I got an A on the test that I barely studied for.","education","yes","no"
"I was watching dance choreography videos and my sister became interested and wanted to watch too.","entertainment","yes","yes"
"Got complimented by a parent of one of my students for helping her this year.","education","yes","yes"
"Brother marriage Ceremony","family","no","yes"
"Having my future daughter reach 35 weeks in my wife's womb.","family","no","yes"
"Yesterday was mother's day and I spent most of the day with her around town.I picked her up from church and took her to a BBQ with the family and we had a good time there.","family","yes","yes"
"Watching a comedy movie with a friend.","entertainment","yes","yes"
"My best friend graduated from college.","education","no","yes"
"My 9 month old daughter got her first and second tooth without any fussiness or fever.","family","no","yes"
"When I paid off my car.","shopping","yes","no"
"I received a friend request from a long-lost friend on facebook!","conversation","yes","yes"
"I got a raise at work for a job well done.","career","yes","no"
"I was given this Friday off from work with pay.","career","yes","no"
"I bought a new type of coffee to try and it turned out to be really good.","food","yes","no"
"I watched a TV show that I enjoyed.","entertainment","yes","no"
"Having a nice dinner at my brothers house and seeing my little nephew.","food","yes","yes"
"Having dinner with my boyfriend.","food|romance","yes","yes"
"My fiance picked me up from therapy and we went to the store together.","shopping","no","yes"
"It's gotten warmer out, I'm enjoying the 90 degree heat. ","weather","no","no"
"I made an excellent batch of chili","food","yes","no"
"I sat on my couch and watched the activity outdoors.","entertainment","yes","yes"
"i was happy today when i heard my favorite song on the radio.","entertainment","yes","no"
"I had a great personal training session this morning and feel accomplished very early in the day!","exercise","yes","no"
"My boyfriend took me out for a day on the town visiting some of our favorite spots and restaurants.","romance|food","no","yes"
"I finally got the promotion at work that i have craved for 3 years.","career","no","no"
"I bought a new computer to play games on.","technology|entertainment|shopping","yes","no"
"My daughter and I went and got pedicures.","family","yes","yes"
"Found out a game I like to play is getting a major update.","entertainment","no","no"
"I pet a cute dog at the park last week.","animals","yes","no"
"One of my students got a big scholarship to college.","education","no","yes"
"I wrote an essay about my nephew, and it was selected as a winner for money that will be deposited into his college fund.","education","yes","yes"
"I felt happy when a stranger on the internet complimented my art work.","career","no","yes"
"Youngest daughter lost her first tooth.","family","no","yes"
"Going to Disney World to celebrate my one year anniversary with my husband.","family|romance","yes","yes"
"I had time to read some of the new books I bought this week.","entertainment","yes","no"
"Got a water table for our daughter and watched her play","family|entertainment","yes","yes"
"I was informed yesterday by my employer that we have a new large remodel project coming up that will provide steady work through the summer.","career","yes","yes"
"I got a new tv.","entertainment","yes","no"
"I was able to leave work early.","career","yes","no"
"I reached 1 million steps in the walking challenge for my work wellness program which means I will receive a free T-shirt.","exercise","yes","no"
"I took my pitbull, Dexter, on a walk at a local state park.","exercise|animals","yes","no"
"My son won his school wide basketball game which made me very happy.","family","no","yes"
"I received a video message from one of my best friends yesterday.","conversation","yes","yes"
"I went kayaking out on the water and it was very nice.","weather","yes","no"
"I have been looking for a full time job for about a month now, and I got a call today letting me know that I'll start one next week!","career","yes","no"
"I went to dinner with a college friend and his wife who live in Baltimore but were in town for his mother's funeral, and we had the best conversation while enjoying delicious food.","food","yes","yes"
"Today a coworker complimented me on my hair, she said it was beautiful and looked very healthy.","career","no","yes"
"I went to tour with my family past one month.We are watched forest,zoo and gardens.","family|entertainment","yes","yes"
"My brother brought his dog over for me to watch while he went out of town.","family|animals","yes","yes"
"My fiance got home from work, and she has the night off tonight.","career","no","yes"
"My sister started going to a new school and she told me she loves it.","family","no","yes"
"Playing my PS4 made me happy in the past 24 hours.","entertainment","yes","no"
"I got to sit outside and read in the sun and warm weather.","weather","yes","no"
"I got a new job offer which offered me a lot more money","career","no","no"
"I went out to eat with my wife.","romance","yes","yes"
"Received back my exam from my linear algebra class, and received a good score, 92%.","education","yes","no"
"Another event in the past 3 months that made me happy would be when i got an A in my java class this semester.","education","yes","no"
"I walked to the park and watched some performers play piano.","entertainment","yes","yes"
"My role as a the head of the school was very well appreciated by the parents body,as the kids really associated with me .","family","no","yes"
"i was given a worthy increment in my salary for which i have been demanding for long.","career","yes","no"
"I hit my goal of walking 5 miles for the day.","exercise","yes","no"
"I got to relax and eat at my favorite take out Chinese restaurant at lunch.","food","yes","no"
"I was able to watch a new video from my favorite youtube channel.","entertainment","yes","no"
"I landed a book editing job for an annual project that I love.","career","yes","no"
"Taking a sick day off of work allowed me to finish a lot of things on my to-do list that I would not have done had I been at work.","career","yes","no"
"my wife bought me a Rolex watch just because she felt like it.","family|shopping","no","yes"
"I played ball with one of my golden retrievers for about an hour yesterday.","entertainment","yes","no"
"I made a good amount of money on Mturk yesterday.","career","yes","no"
"Am feel very happy because of my baby get a first prize in sports Quota in preschool after i listen that news am feel very happy.","education","yes","yes"
"I watched puppy dog pals with my two kids this morning before we took them to day care.","animals","no","yes"
"Yesterday, I went with my brother to pick out his new puppy.","animals|family","yes","yes"
"I came to know that one of my articles has been selected by a magazine and they are going to publish it in their next edition.","education","yes","no"
"Got tickets to a great show.","entertainment","yes","no"
"I went to the club with my friends and had a great time together and felt happy.","conversation","yes","yes"
"I watched a video on Facebook, of my son doing silly things with tractors.","entertainment|family","yes","yes"
"Feel asleep to the sound of a rain storm.","weather","yes","no"
"I sent off my brother by giving many surprises like preparing cakes with innovative arts.","family","yes","yes"
"my sister was a government job so very happy","career|family","no","yes"
"Giving a homeless man money and also a bite to eat.","food","yes","yes"
"I got my paycheck deposited into my bank account, and I got a bonus for working super well. ","career","yes","no"
"My dad loaned me money to hire an attorney so that I could take my ex-husband back to court for child support.","family","no","yes"
"I saw my son and we had a nice conversation about his new job.","family|conversation|career","yes","yes"
"Cuddling with my cat.","animals","yes","yes"
"I organized a spring BBQ picnic with friends at a nearby lake.","food","yes","yes"
"Weighing myself this morning and seeing that my diet has been working and I am slowly losing weight for summer.","exercise","yes","no"
"My girlfriend came to visit","romance","no","yes"
"I won a contest to see a concert in another city.","entertainment","yes","no"
"Finishing my last class of the week.","education","yes","no"
"I was able to work out and hit my weight goal for the month.","career","yes","no"
"I replaced my small toaster oven with a big counter top oven.","shopping","yes","no"
"I walked my dog in the morning and she was very friendly with another dog.","animals","yes","no"
"I got a great deal on some candy bars at costco","shopping","yes","yes"
"I just learned that the new season of Doctor Who is premiering in mid April instead of August!","entertainment","yes","no"
"I got to play Destiny with my dad","family|entertainment","yes","yes"
"Eating with my family before taking off back to college.","family|food","yes","yes"
"i was happy because that i had a bike ride with my friend in a road,i felt that a happy moment","exercise","yes","yes"
"I got got to chit chat with a co worker that I haven't talked to in a while","conversation","yes","yes"
"I got engaged to the person I've been in relationship with, for the past 9 years, with full support of my parents.","romance","yes","yes"
"A childhood friend came back from North Carolina to visit family","vacation|family","no","yes"
"I watched online clips of my favorite comedian.","entertainment","yes","no"
"My friend sent me a text to say she missed me and was thinking about me, and wanted to go to the hot springs with us soon.","vacation|conversation","no","yes"
"My boyfriend bought me cookies a an Italian deli.","shopping|food","no","yes"
"I went to my favorite cafe and studied and wrote and felt really productive.","education|food","yes","no"
"I went out to a fancy dinner with my partner for my birthday.","food|party|family","yes","yes"
"WE BOUGHT A NEW HOUSE FOR MY FAMILY.","family","yes","yes"
"I received a call from a friend I had not heard from in a while.","conversation","yes","no"
"When I found out I was losing weight.","exercise","yes","no"
"My friend tells me I'm funny","conversation","yes","yes"
"I watched the show ""powerless"" with my girlfriend and we both really enjoyed it.","romance","yes","yes"
"I sat on the beach with my husband for a whole afternoon and watch the people there and swam.","vacation|family","yes","yes"
"Got hired for a job.","career","no","yes"
"I was happy when I had a conversation with a friend that retired from work few weeks ago; it was nice to hear from him again.","conversation","yes","yes"
"Last month i went to my friends marriage function and i was very happy to see all of my college friends.","party|education","yes","yes"
"My girlfriend brought me lunch today.","romance|food","yes","yes"
"I got engaged on Valentine's Day.","romance","yes","no"
"I had some clients consign material at work.","career","no","yes"
"My friends and I were able to confirm that we will be going on an overseas cruise next year.","vacation|entertainment","yes","yes"
"Getting dinner with my girlfriend last night.","romance","yes","yes"
"I had a birthday and celebrated it with my friends and family by going out.","party","yes","yes"
"I went out to dinner with my mom and my husband.","family|food","yes","yes"
"My latest package from Amazon arrived earlier than anticipated.","shopping","yes","no"
"I watched survivor and it was crazy and entertaining.","entertainment","yes","no"
"I went on a walk.","exercise","yes","no"
"family members are go to yercaud we are see the 12months once born the kurinji flower","family","yes","no"
"I was budgeting my allowance, and I calculated that I can take my big Eurotrip later this year.","education","yes","no"
"Last month I received a raise already at my new job.","career","no","no"
"I bought a new portable heater for camping/emergencies.","shopping","yes","no"
"my son and my husband helped me in house hold work today.they made me to sit and they did all the work.they gifted this day to me.i really felt very happy for the concern they have towards me.i am thankful to god for giving such a beautiful family.","family","no","yes"
"Something that made me happy was buying a new car.","shopping","yes","no"
"My 5 year old had his first T-ball game.","entertainment|family","no","yes"
"I got a lot of work done that I needed to complete today.","career","yes","no"
"my mum recover fastly from severe cancer","family","no","yes"
"My friend was suffering from anorexia recently and I reached out to her, hand-made and drew her this big card with everything she loves and wrote a message inside telling her how she is funny, smart, and makes everyone happy, and so on, along with this I gave her a box of goodies which included things like a movie and a candle.It took her a few days to receive the card and at the time I was feeling a bit down myself, suddenly my phone beeped with these messages of absolute happiness and that I was able to make just one person's day, or even week just a bit better made me so happy.","conversation","yes","yes"
"I just booked my first Disneyland vacation and we will be able to stay at Disney's Grand Californian because I found a great special.","vacation","yes","yes"
"I received a call from my boss to tell me that my April Fool's joke that I left for her to find got her and she got a good chuckle out of it.","conversation","no","yes"
"Finished an rpg i was playing yesterday.","entertainment","yes","no"
"I bought new chairs for my house.","shopping","yes","no"
"I cooked a homemade italian skillet for my friends and family last night.","food|family","yes","yes"
"All of my work on Mturk was approved and paid by the time I signed on this morning.","career","no","no"
"My boyfriend and I spent quality time together taking a walk around the neighborhood.","exercise|romance","yes","yes"
"I was happy when I completed a difficult task at work.","career","yes","no"
"I referred my husband for a potential job at the company I work for, and got a very positive response to his resume.","career","no","yes"
"I bought a dozen donuts, more specifically, cronuts.","shopping|food","yes","no"
"LAST MONTH I WENT TO MET MY MOTHER SHE HAD PREPARED MY FAVOURITE DISHES AND I ATE LUNCH AND I WAS VERY HAPPY BECAUSE MY CHILDHOOD MEMORIES CAME BACK TO ME.","food|family","yes","yes"
"Petting a nice friendly dog.","animals","yes","no"
"Making rice with my daughter.","family|food","yes","yes"
"My company was purchased by a bigger company and I found out I would get much better health insurance/benefits.","career","no","no"
"I found a book I really wanted for a good price!","shopping","yes","no"
"I went to the beach for the first time in a long time.","vacation","yes","no"
"My wife and I enjoyed a nice getaway to a bed and breakfast to celebrate her birthday in April.","family|romance","yes","yes"
"i made break fast last one month","food","yes","no"
"I met a great person that I am currently in a relationship with","romance","yes","yes"
"Kentucky basketball landed their 6th five star recruit a week ago.","entertainment","no","no"
"Buying a crib yesterday for my soon to come baby made me real happy.","shopping","yes","yes"
"Throwing an end of the year party today for my students made me happy.","party","yes","yes"
"I got to spend some time sitting and talking with my aunt.","conversation|family","yes","yes"
"I went rock climbing with my girlfriend and successfully completed what to me were difficult courses.","exercise","yes","no"
"I was happy when I finished taking a test for a job because I think I did well.","career","yes","no"
"My son got his first bank account.","family","no","yes"
"I get to stay in a hotel room by myself, not with my kids. ","family|vacation","yes","no"
"I got two gold fish added to my family.","family","no","yes"
"When I am getting ready to go to my office, my parents send off with cute smile and say ""Have a nice day and take care""","career","no","yes"
"I beat my older brother in a game of monopoly which is a rivalry we have had since we were young.","entertainment|family|conversation","yes","yes"
"i got a dimond ring as gift from my uncle","family","yes","yes"
"Getting everything done I needed before the weekend starts.","career","yes","no"
"I made it into work before the rain came, about 5 minutes later it came down pouring.","career","yes","no"
"I received a raise at work.","career","yes","no"
"My boyfriend and I were able to use our fire pit for the first time this season.","romance|entertainment","yes","yes"
"I celebrated my wedding anniversary.","romance|party","yes","yes"
"I had a fantastic dinner of spicy fried chicken.","food","yes","no"
"In the past 24 hours I went for shopping with my mom n sister n did lots of shopping","shopping|family","yes","yes"
"My son makes me so happy because he got a first place on a swimming competition .","family","no","yes"
"Today I got the job and right now when i search for the survey you guys are asking this question how co-coincidence it is..","career","yes","yes"
"Finished takeout leftovers for dinner","food","yes","no"
"I MET MY SCHOOL CLOSE  FRIEND AT TEMPLE WE BOTH WERE SO HAPPY","party","yes","yes"
"I just got the lawn mowed before it rained.","weather","yes","no"
"Watching Netflix with my wife last night and just laughing over a beer","romance|entertainment|family","yes","yes"
"My friends and I put together a nice homemade lunch for a group and it turned out perfectly with very pleasant company","food","yes","yes"
"I got a small bonus for some work I did.","career","no","no"
"During dinner with my boyfriend we talked about our ideal wedding and he discussed it as if it were obvious he would be marrying me some day.","romance|conversation","yes","yes"
"I made a tasty loaf of chocolate chip banana bread for breakfast.","food","yes","no"
"Two of my best friends drove up from Portland, to celebrate my birthday and stay night.","party","no","yes"
"today watched cinema","entertainment","yes","no"
"I was happy because I was able to attend a lecture by my favorite author last night.","entertainment","yes","yes"
"I met friends for lunch outside during a long workday.","food","yes","yes"
"i went to the movies with a friend.","entertainment","yes","yes"
"When I received notification that an old trinket from my college days sold on eBay, I was elated to finally be rid of something that was valuable but bringing me down emotionally, and glad to have the money.","education|technology","yes","no"
"I saw a tiny wild baby bunny for the first time today","animals","yes","no"
"I had a pleasant 20 minute conversation with my manager before leaving work about random topics like bring your kid to work day, my sister, her siblings, and so on.","family","yes","yes"
"All of my friends were called me today to wish me.","conversation","no","yes"
"Last night,  I baked my first batch of cookies and it was a big success.","food","yes","no"
"I got the cereal out this morning and there was enough left for one last bowl.","food","yes","no"
"My mother came over to visit me and we talked for a couple of  hours.","conversation|family","yes","yes"
"I watched one of my cats playfully swat the other cat while laying down.","animals","yes","no"
"i am meet for school friends  5 years","education","yes","yes"
"My daughter slept through the night with only minor cry.","family","no","yes"
"I played a demo for a new video game that isn't out yet.","entertainment","yes","no"
"My radio station is playing a song I like that I haven't heard in ages.","entertainment","no","no"
"I was able to workout and lose 20 pounds","exercise","yes","no"
"The day my husband and I paid our mortgage off.","family|romance","yes","yes"
"Boating with my sister son whole day and enjoyed every movement became a child","family","yes","yes"
"Had Mexican food with my best friend.","food","yes","yes"
"I was discouraged, feeling alone and troubled and I heard my friend's voice on the phone; I was filled with joy just hearing his voice.","conversation","no","yes"
"I was hired for a new career position, with more benefits and perks than my previous job. ","career","yes","no"
"I got all the chores done around the house that I wanted to.","career","yes","no"
"I got another sale on one of my websites.","shopping","no","yes"
"I gave my daughter a bath and she had a lot of fun splashing in the tub.","family","yes","yes"
"Had a nice meal with my mother.","food","yes","yes"
"the maid came and cleaned the house and got rid of the cockroach in the bathtub.","family","no","yes"
"I met my friend in railway station and spoke with her for 20 minutes.","conversation","yes","yes"
"I completed a work project that I had been stalling on for months.","career","yes","no"
"I went with my daughter at ultrasound exam where doctors said that she is pregnant with a baby girl.","family","yes","yes"
"The golden state warriors won their series.","entertainment","no","no"
"I was able to go on a 22 mile bike ride.","exercise","yes","no"
"In the past 3mth my staff gave me a suprise party for my birthday n I was so happy to get that suprise n love from my colleagues","party|career","no","yes"
"Figured out how to fix a computer problem I had been having for a long time.","technology","yes","no"
"My son and his wife had my wife and me for dinner and the entree was great and we got the recipe.","family|food","no","yes"
"A couple weeks ago I was playing basketball and I dunked on someone!","entertainment","yes","yes"
"My husband surprised me for our anniversary with a beach side hotel reservation and spa treatment for both of us.","romance","no","yes"
"I went bouldering outside in a natural area with some friends for the first time.","weather","yes","yes"
"I lifted more weight and for more reps when I was weightlifting.","exercise","yes","no"
"Went to a nice gaming bar/lounge with some friends.","entertainment","yes","yes"
"I got logged into my computer in less than 10 minutes after it had done a backup and update.","technology","no","no"
"I recently was able to save enough money to buy a cosmetic product I've been wanting for a long time.","shopping","yes","no"
"My boyfriend brought me home my favorite dessert for no reason.","romance|food","no","yes"
"The day we celebrated my daughters tenth birthday.","party|family","yes","yes"
"it was an awesome day yesterday we friends went to beach with fishing rods and net and captured fish with the help of three persons there , it was really enjoyable","vacation","no","yes"
"Did around $60 on Mturk today, which made it a quite good day.","career","yes","no"
"My daughter and I went for an evening jog.","family|exercise","yes","yes"
"I received a rare card in my favorite iPad game.","entertainment","no","no"
"This morning I had an excellent breakfast at home, it consisted of a mix of cereals, sliced bananas, yogurt, cinnamon, milk and raisings.","food","yes","no"
"I got a large pizza for $9.","food","yes","no"
"I was happy when I found out I got a job interview for next week for a position I really want.","career","yes","no"
"I'm watching E3 streams, as I do every year during the conference.","entertainment","yes","yes"
"I played guitar for an hour.","entertainment","yes","no"
"My sister and I had a sleepover and talked about childhood memories.","conversation","yes","yes"
"Pushing my little girl on her bike","family","yes","yes"
"My daughter got engaged to a wonderful young man that truly loves her a few weeks ago.","romance|family","no","yes"
"Seeing my friend","entertainment","yes","yes"
"after long time i mate my class mate.","education","yes","yes"
"I got to go to sleep at a decent hour last night, without any work-related, urgent jobs to keep me up late.","career","yes","no"
"I was granted an admission in a university.","education","no","no"
"When I went to Disney World with my family, it made me very happy.","family","yes","yes"
"My significant other told me a list of reasons why he loves me.","romance","no","yes"
"Three weeks ago, I received my Certified Public Accountant license.","education|career","yes","no"
"I prepared a dinner meal for my parents as they came to visit me last week.","food|family","yes","yes"
"It made me happy to buy a new phone with my own money.","shopping|technology","yes","no"
"when me and my girlfriend went to disney","romance|vacation","yes","yes"
"It made me happy to find out that we are getting raises this year at work.","career","no","no"
"I made a new recipe for breakfast and it was amazing.","food","yes","no"
"I was able to purchase the building permit so we can get new siding on our house.","shopping","yes","no"
"I brought a new puppy into my home which excited the whole family.","animals|family|shopping","yes","yes"
"We watched Porco Rosso for the first time.","entertainment","yes","yes"
"I played basketball with a group of kids in my neighborhood.","family","yes","yes"
"I signed a lease renewal for our apartment after doing a little bit of searching.","family","yes","no"
"I received some money from mechanical turk.","career","yes","no"
"When I found out my girlfriend is transferring to the college I am going to currently and we will be living together.","romance","yes","yes"
"I climbed the tree with great effort to reach the top.","exercise","yes","yes"
"My wife planned supper for tonight and I liked her idea a lot.","romance|family|food","yes","yes"
"Last month, I received news of a new title promotion and salary that I will be receiving starting in June. ","career","yes","yes"
"My parents came to visit me, even though they live far away.","family","no","yes"
"I completed a mission in the video game Titanfall 2 that took many tries to beat.","entertainment","yes","no"
"I won  some money from playing the lottery.","entertainment","yes","no"
"I finished an inspiring book and started two more.","entertainment|education","yes","no"
"When I got back home from work and my 6 months old baby girl saw me for the first time of the day and she gave me the most ecstatic smile ever.","career","yes","yes"
"I did a great job at work and received praised for it.","career","yes","yes"
"My baby began walking on her own yesterday.","family","no","yes"
"WE BOUGHT A NEW HOUSE.","shopping","yes","yes"
"I got a free junior frosty (ice cream) from a fast food restaurant.","food","yes","yes"
"My boyfriend and I settled on the exact color that we are going to paint our house this summer.","romance","yes","yes"
"Hearing that my parents are coming to town for a few days","family","no","yes"
"I got to have some pizza, which is my favorite food.","food","yes","no"
"Just know we went for shopping I buyer my favourite color Saree its too good color red I just love it","shopping","yes","yes"
"While commuting home from work on the bicycle made a spontaneous decision to take a detour then a couple more and ended up riding a route nearly three times longer.","exercise","yes","no"
"I got a new bunny","animals","yes","no"
"I resisted the temptation to have a donut for breakfast.","food","yes","no"
"My son joined the baseball team","family","no","yes"
"I won a round of cards against a difficult opponent.","entertainment","yes","yes"
"I played video games with my kids and we all had a blast.","entertainment|family","yes","yes"
"A friend of mine stopped to visit for a while after work today.","career","yes","yes"
"When my brother told me he got a raise at his job.","family|career","no","yes"
"Enjoying my new pair of sunnies, riding around able to see more clearly in bright sunlight, with side protection and some alternative coloured lenses to play with.","weather","yes","no"
"My co worker offered me some cake at lunch.","food","no","yes"
"Watched Guardians of the Galaxy with my nephew.","entertainment","yes","yes"
"I ate a piece of chocolate.","food","yes","no"
"I went hiking with my friends.","vacation","yes","yes"
"I won a tournament with my neighborhood soccer team","exercise","yes","no"
"I passed my laboratory practical test.","education","yes","no"
"I have money left over on my student meal plan that I need to use up, so I bought a bunch of snack from the vending machine","shopping|food","yes","no"
"I sat out by the pool.","exercise","yes","no"
"I got to play a game of darts with my roommate ten minutes ago.","entertainment","yes","yes"
"It made me happy when I went to the park and walked around with my friend.","exercise","yes","yes"
"I chatted with a friend that I had not talked to in a long time.","conversation","yes","yes"
"My wife made me a great breakfast that included bacon and eggs.","food","no","yes"
"It made me happy when my boyfriend made me blueberry pancakes for my birthday.","romance|food","no","yes"
"My boyfriend bought me a new dslr camera for our anniversary.","romance","no","yes"
"I went on a trip to the beach.","vacation","yes","no"
"I listened to a really nice podcast on the Gospel readings from this past Sunday.","entertainment","yes","no"
"I hung out at my boyfriend's place of work, a bar, on Cince de Mayo and got to spend time with people I had not seen in months.","career","yes","yes"
"I met some new people at a party and we became friends.","party","yes","yes"
"I made a great sandwich.","food","yes","no"
"I found out what was the mystery smell in the kitchen.","food","yes","no"
"Taking vacation home to see family and friends.","vacation|family","yes","yes"
"I visited Mackinac Island with my boyfriend.","romance|vacation","yes","yes"
"I got to relax at the end of the day and watch a show I love with my spouse.","entertainment|romance","yes","yes"
